CMDLINE C:\Users\MuhametovRD\AppData\Local\anaconda3\envs\tf3\python.exe main.py
MEM 4510.433594 1696846555.4240
MEM 4499.812500 1696846555.5331
MEM 4480.285156 1696846555.6446
MEM 4480.285156 1696846555.7551
MEM 4469.500000 1696846555.8656
MEM 4510.359375 1696846555.9744
MEM 4499.433594 1696846556.0844
MEM 4469.632812 1696846556.1932
MEM 4469.023438 1696846556.3032
MEM 4470.039062 1696846556.4122
MEM 4499.652344 1696846556.5233
MEM 4499.414062 1696846556.6338
MEM 4469.722656 1696846556.7416
MEM 4469.027344 1696846556.8493
MEM 4470.324219 1696846556.9614
MEM 4499.964844 1696846557.0734
MEM 4508.000000 1696846557.1816
MEM 4480.300781 1696846557.2928
MEM 4469.027344 1696846557.4040
MEM 4469.718750 1696846557.5144
MEM 4499.894531 1696846557.6246
MEM 4508.027344 1696846557.7366
MEM 4469.027344 1696846557.8466
MEM 4469.683594 1696846557.9575
MEM 4469.027344 1696846558.0685
MEM 4495.519531 1696846558.1796
MEM 4507.867188 1696846558.2895
MEM 4480.300781 1696846558.3999
MEM 4469.972656 1696846558.5113
MEM 4469.703125 1696846558.6226
MEM 4515.156250 1696846558.7324
MEM 4511.324219 1696846558.8416
MEM 4469.027344 1696846558.9537
MEM 4469.027344 1696846559.0649
MEM 4469.656250 1696846559.1758
MEM 4514.839844 1696846559.2878
MEM 4510.871094 1696846559.3980
MEM 4469.027344 1696846559.5098
MEM 4469.746094 1696846559.6210
MEM 4480.300781 1696846559.7308
MEM 4515.949219 1696846559.8422
MEM 4506.023438 1696846559.9540
MEM 4469.027344 1696846560.0659
MEM 4469.683594 1696846560.1769
MEM 4469.027344 1696846560.2858
MEM 4527.238281 1696846560.3959
MEM 4505.054688 1696846560.5049
MEM 4469.792969 1696846560.6140
MEM 4469.062500 1696846560.7261
